Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04658:Th1 and Th2 cell differentiation	7	1.5418502202643172	0.02389135208625177	IL4, NFATC3, NFATC1, GATA3, RUNX3, JAK3, RELA	206	92	8465	3.126582946390882	0.9988532072783533	1.0	1.0
KEGG_PATHWAY	hsa05170:Human immunodeficiency virus 1 infection	11	2.4229074889867843	0.03316185455704815	APOBEC3G, PRKCB, FBXW11, PXN, NFATC3, CYCS, NFATC1, ATM, RELA, PTK2, PAK4	206	212	8465	2.1321441655980946	0.9999207393809341	1.0	1.0
KEGG_PATHWAY	hsa04115:p53 signaling pathway	6	1.3215859030837005	0.03323262417274403	TP53AIP1, RRM2, RRM2B, SESN1, CYCS, ATM	206	74	8465	3.331802676462871	0.999922347363814	1.0	1.0
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	8	1.762114537444934	0.03564149131906641	TGFB1, FOSB, NFATC1, SQSTM1, RELA, IRF9, NOX1, LILRA5	206	128	8465	2.568264563106796	0.9999613824541911	1.0	1.0
KEGG_PATHWAY	hsa04659:Th17 cell differentiation	7	1.5418502202643172	0.046886307708723915	IL4, TGFB1, NFATC3, NFATC1, GATA3, JAK3, RELA	206	108	8465	2.663385472851492	0.9999985528338065	1.0	1.0
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	9	1.9823788546255507	0.049816108203902865	OPRD1, PPP1CB, NPR2, NFATC3, NFATC1, PDE5A, ADCY1, KNG1, ADRA2A	206	167	8465	2.2145514795651415	0.9999993888527976	1.0	1.0
KEGG_PATHWAY	hsa04727:GABAergic synapse	6	1.3215859030837005	0.06438345528009909	GABRB3, GABRA2, GABRB2, PRKCB, GAD1, ADCY1	206	89	8465	2.7702628995309264	0.9999999919200249	1.0	1.0
KEGG_PATHWAY	hsa00561:Glycerolipid metabolism	5	1.1013215859030838	0.06586284892836436	DGAT1, LPIN1, AGPAT1, DGKZ, AGPAT3	206	63	8465	3.261288334103868	0.999999994812233	1.0	1.0
KEGG_PATHWAY	hsa05321:Inflammatory bowel disease	5	1.1013215859030838	0.07217895313359747	IL4, TGFB1, NFATC1, GATA3, RELA	206	65	8465	3.160941000746826	0.9999999992237858	1.0	1.0
KEGG_PATHWAY	hsa04720:Long-term potentiation	5	1.1013215859030838	0.07879284630994213	PPP1CB, PRKCB, RPS6KA2, ADCY1, GRM1	206	67	8465	3.0665845529633384	0.9999999998952764	1.0	1.0
KEGG_PATHWAY	hsa04218:Cellular senescence	8	1.762114537444934	0.08440836192163911	PPP1CB, TGFB1, FBXW11, NFATC3, NFATC1, ATM, SQSTM1, RELA	206	156	8465	2.107294000497884	0.9999999999810979	1.0	1.0
KEGG_PATHWAY	hsa04070:Phosphatidylinositol signaling system	6	1.3215859030837005	0.08597190568040187	MTMR2, PRKCB, PPIP5K2, PIK3C3, PIK3C2A, DGKZ	206	97	8465	2.541787608847963	0.9999999999882869	1.0	1.0
KEGG_PATHWAY	hsa04390:Hippo signaling pathway	8	1.762114537444934	0.08663213295300254	PPP1CB, PRKCI, TGFB1, PPP2R2C, WNT5B, FBXW11, YWHAG, SMAD7	206	157	8465	2.093871745717643	0.9999999999904324	1.0	1.0
